i,qV(1)/qC(0),Run 1 of 25,qV(1)/qC(0),Run 2 of 25,qV(1)/qC(0),Run 3 of 25,qV(1)/qC(0),Run 4 of 25,qV(1)/qC(0),Run 5 of 25,qV(1)/qC(0),Run 6 of 25,qV(1)/qC(0),Run 7 of 25,qV(1)/qC(0),Run 8 of 25,qV(1)/qC(0),Run 9 of 25,qV(1)/qC(0),Run 10 of 25,qV(1)/qC(0),Run 11 of 25,qV(1)/qC(0),Run 12 of 25,qV(1)/qC(0),Run 13 of 25,qV(1)/qC(0),Run 14 of 25,qV(1)/qC(0),Run 15 of 25,qV(1)/qC(0),Run 16 of 25,qV(1)/qC(0),Run 17 of 25,qV(1)/qC(0),Run 18 of 25,qV(1)/qC(0),Run 19 of 25,qV(1)/qC(0),Run 20 of 25,qV(1)/qC(0),Run 21 of 25,qV(1)/qC(0),Run 22 of 25,qV(1)/qC(0),Run 23 of 25,qV(1)/qC(0),Run 24 of 25,qV(1)/qC(0),Run 25 of 25
1,0,"Question{QuestionCommittee{λ=21/2, rank=6}}",0,"Question{QuestionCommittee{λ=21/2, rank=8}}",0,"Question{QuestionCommittee{λ=21/2, rank=1}}",0,"Question{QuestionCommittee{λ=21/2, rank=4}}",0,"Question{QuestionCommittee{λ=21/2, rank=5}}",0,"Question{QuestionCommittee{λ=21/2, rank=2}}",0,"Question{QuestionCommittee{λ=21/2, rank=4}}",0,"Question{QuestionCommittee{λ=21/2, rank=6}}",0,"Question{QuestionCommittee{λ=21/2, rank=3}}",0,"Question{QuestionCommittee{λ=21/2, rank=7}}",0,"Question{QuestionCommittee{λ=21/2, rank=3}}",0,"Question{QuestionCommittee{λ=21/2, rank=4}}",0,"Question{QuestionCommittee{λ=21/2, rank=7}}",0,"Question{QuestionCommittee{λ=21/2, rank=4}}",0,"Question{QuestionCommittee{λ=21/2, rank=6}}",0,"Question{QuestionCommittee{λ=21/2, rank=2}}",0,"Question{QuestionCommittee{λ=21/2, rank=5}}",0,"Question{QuestionCommittee{λ=21/2, rank=4}}",0,"Question{QuestionCommittee{λ=21/2, rank=6}}",0,"Question{QuestionCommittee{λ=21/2, rank=4}}",0,"Question{QuestionCommittee{λ=21/2, rank=5}}",0,"Question{QuestionCommittee{λ=21/2, rank=1}}",0,"Question{QuestionCommittee{λ=21/2, rank=3}}",0,"Question{QuestionCommittee{λ=21/2, rank=2}}",0,"Question{QuestionCommittee{λ=21/2, rank=4}}"
2,0,"Question{QuestionCommittee{λ=21/2, rank=1}}",0,"Question{QuestionCommittee{λ=23/4, rank=8}}",0,"Question{QuestionCommittee{λ=21/2, rank=7}}",0,"Question{QuestionCommittee{λ=21/2, rank=2}}",0,"Question{QuestionCommittee{λ=21/2, rank=8}}",0,"Question{QuestionCommittee{λ=21/2, rank=7}}",0,"Question{QuestionCommittee{λ=21/2, rank=6}}",0,"Question{QuestionCommittee{λ=21/2, rank=5}}",0,"Question{QuestionCommittee{λ=21/2, rank=8}}",0,"Question{QuestionCommittee{λ=21/2, rank=1}}",0,"Question{QuestionCommittee{λ=21/2, rank=4}}",0,"Question{QuestionCommittee{λ=23/4, rank=4}}",0,"Question{QuestionCommittee{λ=21/2, rank=1}}",0,"Question{QuestionCommittee{λ=21/2, rank=3}}",0,"Question{QuestionCommittee{λ=23/4, rank=6}}",0,"Question{QuestionCommittee{λ=21/2, rank=1}}",0,"Question{QuestionCommittee{λ=21/2, rank=3}}",0,"Question{QuestionCommittee{λ=21/2, rank=6}}",0,"Question{QuestionCommittee{λ=21/2, rank=2}}",0,"Question{QuestionCommittee{λ=21/2, rank=8}}",0,"Question{QuestionCommittee{λ=21/2, rank=2}}",0,"Question{QuestionCommittee{λ=21/2, rank=2}}",0,"Question{QuestionCommittee{λ=21/2, rank=5}}",0,"Question{QuestionCommittee{λ=23/4, rank=2}}",0,"Question{QuestionCommittee{λ=21/2, rank=1}}"
3,0,"Question{QuestionCommittee{λ=21/2, rank=8}}",0,"Question{QuestionCommittee{λ=21/2, rank=5}}",0,"Question{QuestionCommittee{λ=21/2, rank=3}}",0,"Question{QuestionCommittee{λ=21/2, rank=3}}",0,"Question{QuestionCommittee{λ=21/2, rank=6}}",0,"Question{QuestionCommittee{λ=21/2, rank=3}}",0,"Question{QuestionCommittee{λ=21/2, rank=3}}",0,"Question{QuestionCommittee{λ=21/2, rank=1}}",0,"Question{QuestionCommittee{λ=23/4, rank=3}}",0,"Question{QuestionCommittee{λ=21/2, rank=5}}",0,"Question{QuestionCommittee{λ=21/2, rank=6}}",0,"Question{QuestionCommittee{λ=21/2, rank=5}}",0,"Question{QuestionCommittee{λ=21/2, rank=4}}",0,"Question{QuestionCommittee{λ=21/2, rank=8}}",0,"Question{QuestionCommittee{λ=21/2, rank=2}}",0,"Question{QuestionCommittee{λ=21/2, rank=5}}",0,"Question{QuestionCommittee{λ=21/2, rank=7}}",0,"Question{QuestionCommittee{λ=23/4, rank=4}}",0,"Question{QuestionCommittee{λ=23/4, rank=2}}",0,"Question{QuestionCommittee{λ=23/4, rank=4}}",0,"Question{QuestionCommittee{λ=21/2, rank=7}}",0,"Question{QuestionCommittee{λ=21/2, rank=4}}",0,"Question{QuestionCommittee{λ=21/2, rank=6}}",0,"Question{QuestionCommittee{λ=21/2, rank=5}}",0,"Question{QuestionCommittee{λ=21/2, rank=6}}"
4,0,"Question{QuestionCommittee{λ=21/2, rank=7}}",0,"Question{QuestionCommittee{λ=21/2, rank=4}}",0,"Question{QuestionCommittee{λ=23/4, rank=3}}",0,"Question{QuestionCommittee{λ=21/2, rank=7}}",0,"Question{QuestionCommittee{λ=23/4, rank=6}}",0,"Question{QuestionCommittee{λ=21/2, rank=5}}",0,"Question{QuestionCommittee{λ=21/2, rank=8}}",0,"Question{QuestionCommittee{λ=21/2, rank=8}}",0,"Question{QuestionCommittee{λ=21/2, rank=5}}",0,"Question{QuestionCommittee{λ=21/2, rank=6}}",0,"Question{QuestionCommittee{λ=23/4, rank=3}}",0,"Question{QuestionCommittee{λ=21/2, rank=1}}",0,"Question{QuestionCommittee{λ=21/2, rank=2}}",0,"Question{QuestionCommittee{λ=21/2, rank=5}}",0,"Question{QuestionCommittee{λ=21/2, rank=3}}",0,"Question{QuestionCommittee{λ=21/2, rank=3}}",0,"Question{QuestionCommittee{λ=23/4, rank=5}}",0,"Question{QuestionCommittee{λ=27/8, rank=4}}",0,"Question{QuestionCommittee{λ=21/2, rank=5}}",0,"Question{QuestionCommittee{λ=27/8, rank=4}}",0,"Question{QuestionCommittee{λ=23/4, rank=2}}",0,"Question{QuestionCommittee{λ=21/2, rank=5}}",0,"Question{QuestionCommittee{λ=21/2, rank=1}}",0,"Question{QuestionCommittee{λ=27/8, rank=2}}",0,"Question{QuestionCommittee{λ=23/4, rank=4}}"
5,0,"Question{QuestionCommittee{λ=21/2, rank=5}}",0,"Question{QuestionCommittee{λ=21/2, rank=6}}",0,"Question{QuestionCommittee{λ=23/4, rank=7}}",0,"Question{QuestionCommittee{λ=23/4, rank=3}}",0,"Question{QuestionCommittee{λ=27/8, rank=6}}",0,"Question{QuestionCommittee{λ=21/2, rank=6}}",0,"Question{QuestionCommittee{λ=21/2, rank=2}}",0,"Question{QuestionCommittee{λ=21/2, rank=3}}",0,"Question{QuestionCommittee{λ=21/2, rank=6}}",0,"Question{QuestionCommittee{λ=23/4, rank=7}}",0,"Question{QuestionCommittee{λ=27/8, rank=3}}",0,"Question{QuestionCommittee{λ=27/8, rank=4}}",0,"Question{QuestionCommittee{λ=21/2, rank=6}}",0,"Question{QuestionCommittee{λ=23/4, rank=3}}",0,"Question{QuestionCommittee{λ=21/2, rank=7}}",0,"Question{QuestionCommittee{λ=21/2, rank=6}}",0,"Question{QuestionCommittee{λ=21/2, rank=2}}",0,"Question{QuestionCommittee{λ=21/2, rank=1}}",0,"Question{QuestionCommittee{λ=21/2, rank=4}}",0,"Question{QuestionCommittee{λ=21/2, rank=7}}",0,"Question{QuestionCommittee{λ=21/2, rank=6}}",0,"Question{QuestionCommittee{λ=23/4, rank=5}}",0,"Question{QuestionCommittee{λ=21/2, rank=7}}",0,"Question{QuestionCommittee{λ=23/4, rank=5}}",0,"Question{QuestionCommittee{λ=23/4, rank=1}}"
6,0,"Question{QuestionCommittee{λ=23/4, rank=5}}",0,"Question{QuestionCommittee{λ=21/2, rank=1}}",0,"Question{QuestionCommittee{λ=27/8, rank=3}}",0,"Question{QuestionCommittee{λ=23/4, rank=2}}",0,"Question{QuestionCommittee{λ=23/4, rank=8}}",0,"Question{QuestionCommittee{λ=23/4, rank=5}}",0,"Question{QuestionCommittee{λ=21/2, rank=1}}",0,"Question{QuestionCommittee{λ=23/4, rank=6}}",0,"Question{QuestionCommittee{λ=23/4, rank=6}}",0,"Question{QuestionCommittee{λ=23/4, rank=1}}",0,"Question{QuestionCommittee{λ=21/2, rank=1}}",0,"Question{QuestionCommittee{λ=21/2, rank=8}}",0,"Question{QuestionCommittee{λ=21/2, rank=5}}",0,"Question{QuestionCommittee{λ=23/4, rank=8}}",0,"Question{QuestionCommittee{λ=23/4, rank=7}}",0,"Question{QuestionCommittee{λ=23/4, rank=3}}",0,"Question{QuestionCommittee{λ=23/4, rank=2}}",0,"Question{QuestionCommittee{λ=35/16, rank=4}}",0,"Question{QuestionCommittee{λ=27/8, rank=2}}",0,"Question{QuestionCommittee{λ=35/16, rank=4}}",0,"Question{QuestionCommittee{λ=23/4, rank=7}}",0,"Question{QuestionCommittee{λ=21/2, rank=8}}",0,"Question{QuestionCommittee{λ=21/2, rank=2}}",0,"Question{QuestionCommittee{λ=35/16, rank=2}}",0,"Question{QuestionCommittee{λ=21/2, rank=2}}"
7,0,"Question{QuestionCommittee{λ=21/2, rank=3}}",0,"Question{QuestionCommittee{λ=23/4, rank=1}}",0,"Question{QuestionCommittee{λ=21/2, rank=8}}",0,"Question{QuestionCommittee{λ=23/4, rank=4}}",0,"Question{QuestionCommittee{λ=21/2, rank=2}}",0,"Question{QuestionCommittee{λ=21/2, rank=4}}",0,"Question{QuestionCommittee{λ=21/2, rank=5}}",0,"Question{QuestionCommittee{λ=23/4, rank=8}}",0,"Question{QuestionCommittee{λ=27/8, rank=6}}",0,"Question{QuestionCommittee{λ=65/8, rank=7}}",0,"Question{QuestionCommittee{λ=21/2, rank=7}}",0,"Question{QuestionCommittee{λ=21/2, rank=2}}",0,"Question{QuestionCommittee{λ=23/4, rank=2}}",0,"Question{QuestionCommittee{λ=23/4, rank=5}}",0,"Question{QuestionCommittee{λ=27/8, rank=7}}",0,"Question{QuestionCommittee{λ=23/4, rank=1}}",0,"Question{QuestionCommittee{λ=21/2, rank=4}}",0,"Question{QuestionCommittee{λ=21/2, rank=2}}",0,"Question{QuestionCommittee{λ=21/2, rank=8}}",0,"Question{QuestionCommittee{λ=21/2, rank=2}}",0,"Question{QuestionCommittee{λ=21/2, rank=3}}",0,"Question{QuestionCommittee{λ=23/4, rank=8}}",0,"Question{QuestionCommittee{λ=23/4, rank=6}}",0,"Question{QuestionCommittee{λ=21/2, rank=3}}",0,"Question{QuestionCommittee{λ=21/2, rank=3}}"
8,0,"Question{QuestionCommittee{λ=23/4, rank=7}}",0,"Question{QuestionCommittee{λ=21/2, rank=7}}",0,"Question{QuestionCommittee{λ=21/2, rank=5}}",0,"Question{QuestionCommittee{λ=21/2, rank=1}}",0,"Question{QuestionCommittee{λ=21/2, rank=7}}",0,"Question{QuestionCommittee{λ=23/4, rank=7}}",0,"Question{QuestionCommittee{λ=23/4, rank=3}}",0,"Question{QuestionCommittee{λ=23/4, rank=1}}",0,"Question{QuestionCommittee{λ=21/2, rank=7}}",0,"Question{QuestionCommittee{λ=21/2, rank=3}}",0,"Question{QuestionCommittee{λ=21/2, rank=8}}",0,"Question{QuestionCommittee{λ=23/4, rank=5}}",0,"Question{QuestionCommittee{λ=27/8, rank=2}}",0,"Question{QuestionCommittee{λ=21/2, rank=6}}",0,"Question{QuestionCommittee{λ=27/8, rank=6}}",0,"Question{QuestionCommittee{λ=21/2, rank=4}}",0,"Question{QuestionCommittee{λ=27/8, rank=5}}",0,"Question{QuestionCommittee{λ=51/32, rank=4}}",0,"Question{QuestionCommittee{λ=35/16, rank=2}}",0,"Question{QuestionCommittee{λ=23/4, rank=2}}",0,"Question{QuestionCommittee{λ=23/4, rank=3}}",0,"Question{QuestionCommittee{λ=23/4, rank=1}}",0,"Question{QuestionCommittee{λ=23/4, rank=2}}",0,"Question{QuestionCommittee{λ=21/2, rank=6}}",0,"Question{QuestionCommittee{λ=23/4, rank=6}}"
9,0,"Question{QuestionCommittee{λ=21/2, rank=2}}",0,"Question{QuestionCommittee{λ=23/4, rank=6}}",0,"Question{QuestionCommittee{λ=23/4, rank=1}}",0,"Question{QuestionCommittee{λ=21/2, rank=8}}",0,"Question{QuestionCommittee{λ=23/4, rank=5}}",0,"Question{QuestionCommittee{λ=27/8, rank=5}}",0,"Question{QuestionCommittee{λ=23/4, rank=8}}",0,"Question{QuestionCommittee{λ=21/2, rank=2}}",0,"Question{QuestionCommittee{λ=23/4, rank=7}}",0,"Question{QuestionCommittee{λ=21/2, rank=2}}",0,"Question{QuestionCommittee{λ=23/4, rank=1}}",0,"Question{QuestionCommittee{λ=27/8, rank=5}}",0,"Question{QuestionCommittee{λ=23/4, rank=6}}",0,"Question{QuestionCommittee{λ=21/2, rank=1}}",0,"Question{QuestionCommittee{λ=23/4, rank=3}}",0,"Question{QuestionCommittee{λ=23/4, rank=6}}",0,"Question{QuestionCommittee{λ=21/2, rank=8}}",0,"Question{QuestionCommittee{λ=21/2, rank=7}}",0,"Question{QuestionCommittee{λ=23/4, rank=5}}",0,"Question{QuestionCommittee{λ=21/2, rank=6}}",0,"Question{QuestionCommittee{λ=27/8, rank=2}}",0,"Question{QuestionCommittee{λ=27/8, rank=5}}",0,"Question{QuestionCommittee{λ=21/2, rank=4}}",0,"Question{QuestionCommittee{λ=27/8, rank=5}}",0,"Question{QuestionCommittee{λ=27/8, rank=6}}"
10,0,"Question{QuestionCommittee{λ=23/4, rank=1}}",0,"Question{QuestionCommittee{λ=23/4, rank=5}}",0,"Question{QuestionCommittee{λ=65/8, rank=7}}",0,"Question{QuestionCommittee{λ=23/4, rank=1}}",0,"Question{QuestionCommittee{λ=21/2, rank=3}}",0,"Question{QuestionCommittee{λ=21/2, rank=8}}",0,"Question{QuestionCommittee{λ=23/4, rank=6}}",0,"Question{QuestionCommittee{λ=23/4, rank=5}}",0,"Question{QuestionCommittee{λ=27/8, rank=7}}",0,"Question{QuestionCommittee{λ=23/4, rank=2}}",0,"Question{QuestionCommittee{λ=23/4, rank=4}}",0,"Question{QuestionCommittee{λ=21/2, rank=6}}",0,"Question{QuestionCommittee{λ=35/16, rank=2}}",0,"Question{QuestionCommittee{λ=23/4, rank=4}}",0,"Question{QuestionCommittee{λ=21/2, rank=8}}",0,"Question{QuestionCommittee{λ=21/2, rank=7}}",0,"Question{QuestionCommittee{λ=27/8, rank=2}}",0,"Question{QuestionCommittee{λ=23/4, rank=1}}",0,"Question{QuestionCommittee{λ=23/4, rank=8}}",0,"Question{QuestionCommittee{λ=21/2, rank=3}}",0,"Question{QuestionCommittee{λ=21/2, rank=8}}",0,"Question{QuestionCommittee{λ=23/4, rank=2}}",0,"Question{QuestionCommittee{λ=23/4, rank=5}}",0,"Question{QuestionCommittee{λ=35/16, rank=5}}",0,"Question{QuestionCommittee{λ=21/2, rank=8}}"
