i,qV(1)/qC(0),Run 1 of 10,qV(1)/qC(0),Run 2 of 10,qV(1)/qC(0),Run 3 of 10,qV(1)/qC(0),Run 4 of 10,qV(1)/qC(0),Run 5 of 10,qV(1)/qC(0),Run 6 of 10,qV(1)/qC(0),Run 7 of 10,qV(1)/qC(0),Run 8 of 10,qV(1)/qC(0),Run 9 of 10,qV(1)/qC(0),Run 10 of 10
1,1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{17}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{15}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{14}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{13}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{18}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{6}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{10}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{13}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{7}, a=1, b=2}}"
2,1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{9}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{18}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{14}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{9}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{18}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{6}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{10}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{2}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{7}, a=1, b=3}}"
3,1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{9}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{7}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{14}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{9}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{18}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{6}, a=3, b=2}}",1,"Question{QuestionVoter{voter=Voter{10}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{2}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{7}, a=1, b=4}}"
4,1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{9}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{7}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{14}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{9}, a=3, b=4}}",1,"Question{QuestionVoter{voter=Voter{18}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{6}, a=2, b=4}}",1,"Question{QuestionVoter{voter=Voter{10}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{2}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{7}, a=1, b=5}}"
5,1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{9}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{7}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{14}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{9}, a=3, b=5}}",1,"Question{QuestionVoter{voter=Voter{18}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{6}, a=2, b=5}}",1,"Question{QuestionVoter{voter=Voter{10}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{2}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{7}, a=5, b=6}}"
6,1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{9}, a=5, b=6}}",1,"Question{QuestionVoter{voter=Voter{7}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{14}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{9}, a=3, b=6}}",1,"Question{QuestionVoter{voter=Voter{18}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{6}, a=2, b=6}}",1,"Question{QuestionVoter{voter=Voter{10}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{2}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{7}, a=6, b=7}}"
7,1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=8}}",1,"Question{QuestionVoter{voter=Voter{9}, a=6, b=7}}",1,"Question{QuestionVoter{voter=Voter{7}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{14}, a=7, b=8}}",1,"Question{QuestionVoter{voter=Voter{9}, a=3, b=7}}",1,"Question{QuestionVoter{voter=Voter{18}, a=1, b=8}}",1,"Question{QuestionVoter{voter=Voter{6}, a=2, b=7}}",1,"Question{QuestionVoter{voter=Voter{10}, a=1, b=8}}",1,"Question{QuestionVoter{voter=Voter{2}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{7}, a=6, b=8}}"
8,1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{9}, a=6, b=8}}",1,"Question{QuestionVoter{voter=Voter{7}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{14}, a=7, b=9}}",1,"Question{QuestionVoter{voter=Voter{9}, a=3, b=8}}",1,"Question{QuestionVoter{voter=Voter{18}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{6}, a=2, b=8}}",1,"Question{QuestionVoter{voter=Voter{10}, a=8, b=9}}",1,"Question{QuestionVoter{voter=Voter{2}, a=1, b=8}}",1,"Question{QuestionVoter{voter=Voter{7}, a=8, b=9}}"
9,1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=10}}",1,"Question{QuestionVoter{voter=Voter{9}, a=6, b=9}}",1,"Question{QuestionVoter{voter=Voter{7}, a=1, b=8}}",1,"Question{QuestionVoter{voter=Voter{14}, a=7, b=10}}",1,"Question{QuestionVoter{voter=Voter{9}, a=8, b=9}}",1,"Question{QuestionVoter{voter=Voter{18}, a=1, b=10}}",1,"Question{QuestionVoter{voter=Voter{6}, a=8, b=9}}",1,"Question{QuestionVoter{voter=Voter{10}, a=8, b=10}}",1,"Question{QuestionVoter{voter=Voter{2}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{7}, a=8, b=10}}"
10,1,"Question{QuestionVoter{voter=Voter{7}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{9}, a=6, b=10}}",1,"Question{QuestionVoter{voter=Voter{7}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{8}, a=7, b=1}}",1,"Question{QuestionVoter{voter=Voter{9}, a=8, b=10}}",1,"Question{QuestionVoter{voter=Voter{7}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{6}, a=8, b=10}}",1,"Question{QuestionVoter{voter=Voter{6}, a=8, b=1}}",1,"Question{QuestionVoter{voter=Voter{2}, a=10, b=1}}",1,"Question{QuestionVoter{voter=Voter{3}, a=8, b=6}}"
